,id,label,parent,synonym,length
4681,DOID:0060817,syndromic X-linked intellectual disability 34,syndromic X-linked intellectual disability,syndromic xlinked mental retardation mircsoflangouet type,59.0
4682,DOID:0060818,syndromic X-linked intellectual disability Abidi type,syndromic X-linked intellectual disability,mrxsab,6.0
4683,DOID:0060818,syndromic X-linked intellectual disability Abidi type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic abidi type,50.0
4684,DOID:0060818,syndromic X-linked intellectual disability Abidi type,syndromic X-linked intellectual disability,syndromic xlinked mental retardation abidi type,48.0
4685,DOID:0060819,syndromic X-linked intellectual disability Chudley-Schwartz type,syndromic X-linked intellectual disability,mrxscs,6.0
4686,DOID:0060819,syndromic X-linked intellectual disability Chudley-Schwartz type,syndromic X-linked intellectual disability,xlinked mental retardation with seizures hypogammaglobinemia and gait disturbance,84.0
4687,DOID:0060819,syndromic X-linked intellectual disability Chudley-Schwartz type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic chudleyschwartz type,62.0
4688,DOID:0060820,syndromic X-linked intellectual disability Nascimento type,syndromic X-linked intellectual disability,xlinked intellectual disabilitynail dystrophyseizures,65.0
4689,DOID:0060820,syndromic X-linked intellectual disability Nascimento type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic nascimentotype,55.0
4690,DOID:0060821,syndromic X-linked intellectual disability 14,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 14,42.0
4691,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,cabezas syndromic xlinked mental retardation 15,58.0
4692,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,mrss,4.0
4693,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,mrxs15,6.0
4694,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,mrxsc,5.0
4695,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,xlinked mental retardation with short stature,46.0
4696,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,xlinked mental retardation with short stature hypogonadism and abnormal gait,79.0
4697,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 15,42.0
4698,DOID:0060822,syndromic X-linked intellectual disability Cabezas type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 15 cabezas type,57.0
4699,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,mrx94,5.0
4700,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,mrxs29,6.0
4701,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,mental retardation xlinked 94,31.0
4702,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,syndromic xlinked intellectual disability due to gria3 anomalies,65.0
4703,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,syndromic xlinked mental retardation 29,40.0
4704,DOID:0060823,syndromic X-linked intellectual disability 94,syndromic X-linked intellectual disability,syndromic xlinked mental retardation wu type,45.0
4705,DOID:0060824,syndromic X-linked intellectual disability Raymond type,syndromic X-linked intellectual disability,mrxsr,5.0
4706,DOID:0060824,syndromic X-linked intellectual disability Raymond type,syndromic X-linked intellectual disability,xlinked syndromic intellectual developmental disorder raymond type,67.0
4707,DOID:0060824,syndromic X-linked intellectual disability Raymond type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic raymond type,52.0
4708,DOID:0060825,Christianson syndrome,X-linked dominant disease,mrxsch,6.0
4709,DOID:0060825,Christianson syndrome,X-linked dominant disease,xlinked angelmanlike,31.0
4710,DOID:0060825,Christianson syndrome,X-linked dominant disease,xlinked intellectual disability south african type,52.0
4711,DOID:0060825,Christianson syndrome,X-linked dominant disease,xlinked intellectual disabilitycraniofacial dysmorphismepilepsyophthalmoplegiacerebellar atrophy,110.0
4712,DOID:0060825,Christianson syndrome,X-linked dominant disease,mental retardation xlinked syndromic christianson type,57.0
4713,DOID:0060825,Christianson syndrome,X-linked dominant disease,mental retardation microcephaly epilepsy and ataxia,63.0
4714,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,mrxsch,6.0
4715,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,xlinked angelmanlike,31.0
4716,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,xlinked intellectual disability south african type,52.0
4717,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,xlinked intellectual disabilitycraniofacial dysmorphismepilepsyophthalmoplegiacerebellar atrophy,110.0
4718,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,mental retardation xlinked syndromic christianson type,57.0
4719,DOID:0060825,Christianson syndrome,syndromic X-linked intellectual disability,mental retardation microcephaly epilepsy and ataxia,63.0
4720,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,mrxs11,6.0
4721,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,smrxs,5.0
4722,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,shashi xlinked mental retardation,43.0
4723,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,xlinked mental retardation shashi type,39.0
4724,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 11 shashi type,55.0
4725,DOID:0060826,syndromic X-linked intellectual disability Shashi type,syndromic X-linked intellectual disability,syndromic xlinked intellectual disability type 11,50.0
4726,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,lindsayburn,21.0
4727,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,mrxs13,6.0
4728,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,ppmx,5.0
4729,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,xlinked mental retardation 79,30.0
4730,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,xlinked mental retardation with spasticity,43.0
4731,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,mental retardation with psychosis pyramidal signs and macroorchidism,70.0
4732,DOID:0060827,X-linked intellectual disability-psychosis-macroorchidism syndrome,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 13,42.0
4733,DOID:0060828,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,syndromic X-linked intellectual disability,mrxs32,6.0
4734,DOID:0060828,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,syndromic X-linked intellectual disability,mental retardation xlinked syndromic 32,42.0
4735,DOID:0060830,"deafness-intellectual disability, Martin-Probst type syndrome",syndromic X-linked intellectual disability,martinprobst,22.0
4736,DOID:0060830,"deafness-intellectual disability, Martin-Probst type syndrome",syndromic X-linked intellectual disability,mental retardation xlinked syndromic martinprobst type,59.0
4737,DOID:0060831,Griscelli syndrome,autosomal recessive disease,chediakhigashilike,29.0
4738,DOID:0060831,Griscelli syndrome,autosomal recessive disease,griscelliprunieras,28.0
4739,DOID:0060831,Griscelli syndrome,autosomal recessive disease,partial albinismimmunodeficiency,42.0
4740,DOID:0060831,Griscelli syndrome,integumentary system disease,chediakhigashilike,29.0
4741,DOID:0060831,Griscelli syndrome,integumentary system disease,griscelliprunieras,28.0
4742,DOID:0060831,Griscelli syndrome,integumentary system disease,partial albinismimmunodeficiency,42.0
4744,DOID:0060832,Griscelli syndrome type 1,Griscelli syndrome,griscelli with neurological impairment,47.0
4745,DOID:0060832,Griscelli syndrome type 1,Griscelli syndrome,griscelli cutaneous and neurological type,51.0
4746,DOID:0060832,Griscelli syndrome type 1,Griscelli syndrome,griscelliprunieras type 1,35.0
4747,DOID:0060832,Griscelli syndrome type 1,Griscelli syndrome,hypopigmentationneurologic impairment,47.0
4749,DOID:0060833,Griscelli syndrome type 2,Griscelli syndrome,griscelli with hemophagocytic,47.0
4750,DOID:0060833,Griscelli syndrome type 2,Griscelli syndrome,griscelliprunieras type 2,35.0
4751,DOID:0060833,Griscelli syndrome type 2,Griscelli syndrome,paid,13.0
4752,DOID:0060833,Griscelli syndrome type 2,Griscelli syndrome,hypopigmentationimmunodeficiency with or without neurologic impairment,80.0
4753,DOID:0060833,Griscelli syndrome type 2,Griscelli syndrome,partial albinism and immunodeficiency,46.0
4755,DOID:0060834,Griscelli syndrome type 3,Griscelli syndrome,griscelliprunieras type 3,35.0
4756,DOID:0060835,isolated microphthalmia 6,autosomal recessive disease,mcop6,5.0
4757,DOID:0060835,isolated microphthalmia 6,autosomal recessive disease,posterior nonsyndromic microphthalmia,37.0
4758,DOID:0060835,isolated microphthalmia 6,isolated microphthalmia,mcop6,5.0
4759,DOID:0060835,isolated microphthalmia 6,isolated microphthalmia,posterior nonsyndromic microphthalmia,37.0
4761,DOID:0060836,isolated microphthalmia 4,monogenic disease,mcop4,5.0
4762,DOID:0060836,isolated microphthalmia 4,isolated microphthalmia,mcop4,5.0
4763,DOID:0060837,isolated microphthalmia 5,autosomal recessive disease,mcop5,5.0
4764,DOID:0060837,isolated microphthalmia 5,autosomal recessive disease,microphthalmiaretinitis pigmentosafoveoschisisoptic disc drusen,75.0
4765,DOID:0060837,isolated microphthalmia 5,autosomal recessive disease,posterior microphthalmia with retinitis pigmentosa foveoschisis and optic disc drusen,86.0
4766,DOID:0060837,isolated microphthalmia 5,isolated microphthalmia,mcop5,5.0
4767,DOID:0060837,isolated microphthalmia 5,isolated microphthalmia,microphthalmiaretinitis pigmentosafoveoschisisoptic disc drusen,75.0
4768,DOID:0060837,isolated microphthalmia 5,isolated microphthalmia,posterior microphthalmia with retinitis pigmentosa foveoschisis and optic disc drusen,86.0
4769,DOID:0060838,isolated microphthalmia 7,autosomal dominant disease,mcop7,5.0
4770,DOID:0060838,isolated microphthalmia 7,isolated microphthalmia,mcop7,5.0
4771,DOID:0060839,isolated microphthalmia 2,autosomal recessive disease,mcop2,5.0
4772,DOID:0060839,isolated microphthalmia 2,isolated microphthalmia,mcop2,5.0
4773,DOID:0060840,isolated microphthalmia 1,autosomal recessive disease,mcop1,5.0
4774,DOID:0060840,isolated microphthalmia 1,isolated microphthalmia,mcop1,5.0
4775,DOID:0060841,isolated microphthalmia 8,autosomal recessive disease,mcop8,5.0
4776,DOID:0060841,isolated microphthalmia 8,isolated microphthalmia,mcop8,5.0
4777,DOID:0060842,isolated microphthalmia 3,autosomal recessive disease,mcop3,5.0
4778,DOID:0060842,isolated microphthalmia 3,isolated microphthalmia,mcop3,5.0
4779,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,hnpp,4.0
4780,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,current pressuresensitive neuropathy,37.0
4781,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,familial recurrent polyneuropathy,33.0
4782,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,heterozygous microdeletion 17p112p12,37.0
4783,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,potatogrubbing palsy,21.0
4784,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,tomaculous neuropathy,21.0
4785,DOID:0060843,hereditary neuropathy with liability to pressure palsies,autosomal dominant disease,tulipbulb diggers palsy,25.0
4786,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,hnpp,4.0
4787,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,current pressuresensitive neuropathy,37.0
4788,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,familial recurrent polyneuropathy,33.0
4789,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,heterozygous microdeletion 17p112p12,37.0
4790,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,potatogrubbing palsy,21.0
4791,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,tomaculous neuropathy,21.0
4792,DOID:0060843,hereditary neuropathy with liability to pressure palsies,neuropathy,tulipbulb diggers palsy,25.0
4793,DOID:0060844,Norrie disease,syndrome,episkopi blindness,18.0
4794,DOID:0060844,Norrie disease,syndrome,norriewarburg,22.0
4795,DOID:0060844,Norrie disease,syndrome,atrophia bulborum hereditaria,29.0
4796,DOID:0060844,Norrie disease,X-linked recessive disease,episkopi blindness,18.0
4797,DOID:0060844,Norrie disease,X-linked recessive disease,norriewarburg,22.0
4798,DOID:0060844,Norrie disease,X-linked recessive disease,atrophia bulborum hereditaria,29.0
4800,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,dee9,4.0
4801,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,efmr,4.0
4802,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,eiee9,5.0
4803,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,juberg hellman,23.0
4804,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,early infantile epileptic encephalopathy 9,42.0
4805,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,early infantile femalelimited epilecptic encephalopathy,56.0
4806,DOID:0060848,developmental and epileptic encephalopathy 9,X-linked dominant disease,female restricted epilepsy with mental retardation,50.0
4807,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,dee9,4.0
4808,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,efmr,4.0
4809,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,eiee9,5.0
4810,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,juberg hellman,23.0
4811,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,early infantile epileptic encephalopathy 9,42.0
4812,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,early infantile femalelimited epilecptic encephalopathy,56.0
4813,DOID:0060848,developmental and epileptic encephalopathy 9,developmental and epileptic encephalopathy,female restricted epilepsy with mental retardation,50.0
4815,DOID:0060849,osteoporosis-pseudoglioma syndrome,syndrome,oppg,4.0
4816,DOID:0060849,osteoporosis-pseudoglioma syndrome,syndrome,ocular form of osteogenesis imperfecta,38.0
4817,DOID:0060849,osteoporosis-pseudoglioma syndrome,autosomal recessive disease,oppg,4.0
4818,DOID:0060849,osteoporosis-pseudoglioma syndrome,autosomal recessive disease,ocular form of osteogenesis imperfecta,38.0
4820,DOID:0060851,pemphigus vulgaris,pemphigus,familial pemphigus vulgaris,27.0
4821,DOID:0060852,Pierson syndrome,syndrome,microcoriacongenital nephrosis,40.0
4822,DOID:0060852,Pierson syndrome,autosomal recessive disease,microcoriacongenital nephrosis,40.0
4823,DOID:0060853,Potocki-Lupski syndrome,chromosomal duplication syndrome,17p112 microduplication,33.0
4824,DOID:0060853,Potocki-Lupski syndrome,chromosomal duplication syndrome,chromosome 17p112 duplication,39.0
4825,DOID:0060853,Potocki-Lupski syndrome,chromosomal duplication syndrome,trisomy 17p112,15.0
4826,DOID:0060854,autosomal recessive pseudohypoaldosteronism type 1,autosomal recessive disease,pha1b,5.0
4827,DOID:0060854,autosomal recessive pseudohypoaldosteronism type 1,autosomal recessive disease,autosomal recessive pha 1,25.0
4828,DOID:0060854,autosomal recessive pseudohypoaldosteronism type 1,pseudohypoaldosteronism,pha1b,5.0
4829,DOID:0060854,autosomal recessive pseudohypoaldosteronism type 1,pseudohypoaldosteronism,autosomal recessive pha 1,25.0
4831,DOID:0060855,autosomal dominant pseudohypoaldosteronism type 1,autosomal dominant disease,pha1a,5.0
4832,DOID:0060855,autosomal dominant pseudohypoaldosteronism type 1,autosomal dominant disease,autosomal dominant pha 1,24.0
4833,DOID:0060855,autosomal dominant pseudohypoaldosteronism type 1,pseudohypoaldosteronism,pha1a,5.0
4834,DOID:0060855,autosomal dominant pseudohypoaldosteronism type 1,pseudohypoaldosteronism,autosomal dominant pha 1,24.0
4835,DOID:0060856,right atrial isomerism,autosomal recessive disease,ivemark,16.0
4836,DOID:0060856,right atrial isomerism,autosomal recessive disease,asplenia with cardiovascular anomalies,38.0
4837,DOID:0060856,right atrial isomerism,visceral heterotaxy,ivemark,16.0
4838,DOID:0060856,right atrial isomerism,visceral heterotaxy,asplenia with cardiovascular anomalies,38.0
4839,DOID:0060857,septooptic dysplasia,syndrome,de morsier,19.0
4841,DOID:0060857,septooptic dysplasia,syndrome,septooptic dysplasia,21.0
4842,DOID:0060857,septooptic dysplasia,autosomal genetic disease,de morsier,19.0
4844,DOID:0060857,septooptic dysplasia,autosomal genetic disease,septooptic dysplasia,21.0
4845,DOID:0060858,hypotonia-cystinuria syndrome,syndrome,cystinuria with mitochondrial,37.0
4846,DOID:0060858,hypotonia-cystinuria syndrome,chromosomal deletion syndrome,cystinuria with mitochondrial,37.0
4847,DOID:0060859,salmonellosis,primary bacterial infectious disease,salmonella infection,20.0
4850,DOID:0060861,microphthalmia with limb anomalies,syndrome,waardenburg anophthalmia,33.0
4851,DOID:0060861,microphthalmia with limb anomalies,syndrome,anophthalmiasyndactyly,32.0
4852,DOID:0060861,microphthalmia with limb anomalies,syndrome,ophthalmoacromelic,27.0
4855,DOID:0060861,microphthalmia with limb anomalies,autosomal recessive disease,waardenburg anophthalmia,33.0
4856,DOID:0060861,microphthalmia with limb anomalies,autosomal recessive disease,anophthalmiasyndactyly,32.0
4857,DOID:0060861,microphthalmia with limb anomalies,autosomal recessive disease,ophthalmoacromelic,27.0
4858,DOID:0060862,mal de Meleda,palmoplantar keratosis,meleda,14.0
4859,DOID:0060862,mal de Meleda,palmoplantar keratosis,keratosis palmoplantaris transgrediens of siemens,49.0
4860,DOID:0060862,mal de Meleda,palmoplantar keratosis,transgrediens palmoplantar keratoderma of siemens,49.0
4861,DOID:0060863,patterned macular dystrophy,macular degeneration,patterned dystrophy of retinal pigment epithelium,49.0
4862,DOID:0060864,patterned macular dystrophy 2,patterned macular dystrophy,mdpt2,5.0
4863,DOID:0060864,patterned macular dystrophy 2,patterned macular dystrophy,butterflyshaped pigmentary maculary dystrophy 2,48.0
4864,DOID:0060865,patterned macular dystrophy 3,patterned macular dystrophy,mdpt3,5.0
4865,DOID:0060865,patterned macular dystrophy 3,patterned macular dystrophy,martinique crinkled retinal pigment epitheliopathy,50.0
4866,DOID:0060866,patterned macular dystrophy 1,patterned macular dystrophy,mdpt1,5.0
4867,DOID:0060866,patterned macular dystrophy 1,patterned macular dystrophy,butterflyshaped pigmentary maculary dystrophy 1,48.0
4868,DOID:0060867,macrocephaly-autism syndrome,autosomal dominant disease,macrocephalyintellectual disabilityautism,52.0
4869,DOID:0060867,macrocephaly-autism syndrome,syndrome,macrocephalyintellectual disabilityautism,52.0
4870,DOID:0060868,leukoencephalopathy with vanishing white matter,autosomal recessive disease,cach,4.0
4871,DOID:0060868,leukoencephalopathy with vanishing white matter,autosomal recessive disease,cachvwm,8.0
4872,DOID:0060868,leukoencephalopathy with vanishing white matter,autosomal recessive disease,childhood ataxia with central nervous system hypomyelination,60.0
4873,DOID:0060868,leukoencephalopathy with vanishing white matter,autosomal recessive disease,vanishing white matter leukodystrophy,37.0
4874,DOID:0060868,leukoencephalopathy with vanishing white matter,leukodystrophy,cach,4.0
4875,DOID:0060868,leukoencephalopathy with vanishing white matter,leukodystrophy,cachvwm,8.0
4876,DOID:0060868,leukoencephalopathy with vanishing white matter,leukodystrophy,childhood ataxia with central nervous system hypomyelination,60.0
4877,DOID:0060868,leukoencephalopathy with vanishing white matter,leukodystrophy,vanishing white matter leukodystrophy,37.0
4878,DOID:0060869,late-onset retinal degeneration,retinal degeneration,lord,4.0
4879,DOID:0060869,late-onset retinal degeneration,retinal degeneration,autosomal dominant lateonset retinal degeneration,50.0
4880,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,ighd,4.0
4881,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,congenital ighd,15.0
4882,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,congenital isolated gh deficiency,33.0
4883,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,congenital isolated growth hormone deficiency,45.0
4884,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,familial isolated growth hormone deficiency,43.0
4885,DOID:0060870,isolated growth hormone deficiency,hypopituitarism,nonacquired isolated growth hormone deficiency,47.0
4886,DOID:9406,hypopituitarism,pituitary gland disease,pituitary insufficiency,23.0
4887,DOID:9406,hypopituitarism,pituitary gland disease,pituitary hormone deficiency,28.0
4888,DOID:0060871,autosomal dominant keratitis-ichthyosis-deafness syndrome,autosomal dominant disease,autosomal dominant kid,31.0
4889,DOID:0060871,autosomal dominant keratitis-ichthyosis-deafness syndrome,syndrome,autosomal dominant kid,31.0
4890,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,ighd ii,7.0
4891,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,autosomal dominant isolated growth hormone deficiency,53.0
4892,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,autosomal dominant pituitary dwarfism due to isolated growth hormone deficiency,79.0
4893,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,congenital ighd type ii,23.0
4894,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,congenital isolated gh deficiency type ii,41.0
4895,DOID:0060872,isolated growth hormone deficiency type II,isolated growth hormone deficiency,congenital isolated growth hormone deficiency type ii,53.0
4896,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,ighd ia,7.0
4897,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,illigtype growth hormone deficiency,36.0
4898,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,autosomal recessive isolated growth hormone deficiency,54.0
4899,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,pituitary dwarfism i,20.0
4900,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,primordial dwarfism,19.0
4901,DOID:0060873,isolated growth hormone deficiency type IA,isolated growth hormone deficiency,sexual ateleiotic dwarfism,26.0
4902,DOID:0060874,isolated growth hormone deficiency type IB,isolated growth hormone deficiency,ighd ib,7.0
4903,DOID:0060874,isolated growth hormone deficiency type IB,isolated growth hormone deficiency,congenital ighd type ib,23.0
4904,DOID:0060874,isolated growth hormone deficiency type IB,isolated growth hormone deficiency,congenital isolated gh deficiency type ib,41.0
4905,DOID:0060874,isolated growth hormone deficiency type IB,isolated growth hormone deficiency,congenital isolated growth hormone deficiency type ib,53.0
4906,DOID:0060874,isolated growth hormone deficiency type IB,isolated growth hormone deficiency,dwarfism of sindh,17.0
4907,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,fleisher,17.0
4908,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,ighd iii,8.0
4909,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,xlinked ighd,13.0
4910,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,xlinked agammaglobulinemia and isolated growth hormone deficiency,66.0
4911,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,xlinked hypogammaglobulinemia and isolated growth hormone deficiency,69.0
4912,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,xlinked isolated growth hormone deficiency,43.0
4913,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,congenital ighd type iii,24.0
4914,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,congenital isolated gh deficiency type iii,42.0
4915,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,congenital isolated growth hormone deficiency type iii,54.0
4916,DOID:0060875,isolated growth hormone deficiency type III,X-linked recessive disease,growth hormone deficiency with hypogammaglobulinemia,52.0
4917,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,fleisher,17.0
4918,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,ighd iii,8.0
4919,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,xlinked ighd,13.0
4920,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,xlinked agammaglobulinemia and isolated growth hormone deficiency,66.0
4921,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,xlinked hypogammaglobulinemia and isolated growth hormone deficiency,69.0
4922,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,xlinked isolated growth hormone deficiency,43.0
4923,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,congenital ighd type iii,24.0
4924,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,congenital isolated gh deficiency type iii,42.0
4925,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,congenital isolated growth hormone deficiency type iii,54.0
4926,DOID:0060875,isolated growth hormone deficiency type III,isolated growth hormone deficiency,growth hormone deficiency with hypogammaglobulinemia,52.0
4927,DOID:0060877,bullous congenital ichthyosiform erythroderma,autosomal dominant disease,bullous type ichthyosis,23.0
4928,DOID:0060877,bullous congenital ichthyosiform erythroderma,autosomal dominant disease,ichthyosis bullosa of siemens,29.0
4929,DOID:0060877,bullous congenital ichthyosiform erythroderma,autosomal dominant disease,superficial epidermolytic ichthyosis,36.0
4930,DOID:0060877,bullous congenital ichthyosiform erythroderma,ichthyosis,bullous type ichthyosis,23.0
4931,DOID:0060877,bullous congenital ichthyosiform erythroderma,ichthyosis,ichthyosis bullosa of siemens,29.0
4932,DOID:0060877,bullous congenital ichthyosiform erythroderma,ichthyosis,superficial epidermolytic ichthyosis,36.0
4933,DOID:0060878,hypoparathyroidism-deafness-renal disease syndrome,chromosomal deletion syndrome,barakat,16.0
4934,DOID:0060878,hypoparathyroidism-deafness-renal disease syndrome,chromosomal deletion syndrome,hdr,12.0
4935,DOID:0060878,hypoparathyroidism-deafness-renal disease syndrome,chromosomal deletion syndrome,hypoparathyroidism sensorineural deafness and renal,61.0
4936,DOID:0060879,primary hypomagnesemia,metal metabolism disorder,homg,4.0
4937,DOID:0060879,primary hypomagnesemia,metal metabolism disorder,primary familial hypomagnesemia,31.0
4938,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,fhhnc without severe ocular involvement,39.0
4939,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,homg3,5.0
4940,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement,106.0
4941,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,isolated renal hypomagnesemia,29.0
4942,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,primary hypomagnesemia due to defect in renal tubular transport of magnesium,76.0
4943,DOID:0060880,renal hypomagnesemia 3,primary hypomagnesemia,renal hypomagnesemia type 3,27.0
4944,DOID:0060881,renal hypomagnesemia 5 with ocular involvement,primary hypomagnesemia,fhhnc with severe ocular involvement,36.0
4945,DOID:0060881,renal hypomagnesemia 5 with ocular involvement,primary hypomagnesemia,meierblumbergimahorn,31.0
4946,DOID:0060881,renal hypomagnesemia 5 with ocular involvement,primary hypomagnesemia,bilateral macular coloboma with hypercalciuria,46.0
4947,DOID:0060881,renal hypomagnesemia 5 with ocular involvement,primary hypomagnesemia,familial hypomagnesemia with hypercalciuria nephrocalcinosis and severe ocular involvement,91.0
